Store,Total_Sales,Avg_Weekly_Sales,STD_Weekly_Sales,CV,Decline_Sales_Count
1,222402808.85,1555795.3413588442,156031.3943499043,0.10029043679589966,80
2,275382440.98,1926818.1766761087,238698.7480757766,0.12388234186556618,80
3,57586735.07,403047.6432226649,46405.69503235101,0.11513699636425871,78
4,299543953.38,2095074.670588006,265591.46906716283,0.12676945256209968,66
5,45475688.9,318327.9278130903,38052.25552476605,0.11953791106606532,69
6,223756130.64,1564915.9144628341,212207.42913073013,0.13560308714961947,74
7,81598275.14,570928.0819299325,112607.067788887,0.19723511831514146,78
8,129951181.13,909105.9468701365,106132.05825000892,0.11674333295849577,75
9,77789218.99,544619.369084245,69338.45450688146,0.12731543981528093,70
10,271617713.89,1900404.687019874,302116.45619115705,0.15897480060677074,71
11,193962786.8,1356693.5343102762,165294.44136333946,0.12183624170315871,79
12,144287230.15,1009763.3827831015,139235.99443973237,0.137889724279733,76
13,286517703.8,2004278.6114292534,266061.54984356987,0.13274678895756967,65
14,288999911.34,2021897.414989044,316800.8329901667,0.15668491914654498,76
15,89133683.92,623594.6390627209,120652.62756114714,0.19347925720222867,67
16,74252425.4,519735.0935920788,85701.52211583563,0.16489462261153304,71
17,127782138.83,894128.0736912002,111839.46231369,0.1250821505379948,71
18,155114734.21,1085587.6689258546,176322.65149564462,0.16242138386677588,71
19,206634862.1,1445811.9680134016,192549.0340069673,0.13317709236529332,70
20,301397792.46,2109341.0635833167,277430.8650086632,0.13152489647044932,82
21,108117878.92,756375.8040857859,129324.13803608889,0.17097868194290008,63
22,147075648.57,1028957.3877518581,161515.1655567849,0.15696973215739782,71
23,198750617.85,1390553.3503313432,249502.32300351385,0.17942664547466808,69
24,194016021.28,1356970.1524305826,167219.29559693485,0.1232298995651558,74
25,101061179.17,706990.0503161974,112822.06567727683,0.15958083940052306,64
26,143416393.79,1003288.6782068195,110561.93275304747,0.11019952198668792,75
27,253855916.88,1775482.4936547675,239238.75625881166,0.13474577029838644,65
28,189263680.58,1324404.0972876498,181765.92935846775,0.13724355710671715,86
29,77141554.31,539931.6322284506,99616.5741227022,0.18449849606246704,66
30,62716885.12,438530.876382057,22685.0359323368,0.05172962077263891,65
31,199613905.5,1396124.8493857228,125822.50661205841,0.09012267539498256,76
32,166819246.16,1166611.321211527,138105.64167340237,0.11838188020495079,66
33,37160221.96,259623.12506551563,23842.973610465237,0.09183686393285839,73
34,138249763.0,967038.087057903,105067.47228089995,0.10864874267833141,77
35,131520672.08,919771.4497439127,210654.13795377003,0.22902878537099775,67
36,53412214.97,372455.59465123754,60099.615276772856,0.16136048468556188,73
37,74202740.32,519129.0857688038,21810.921310827292,0.04201444671227856,64
38,55159626.42,386640.4935071991,42712.330916216684,0.1104704024370934,82
39,207445542.47,1451115.3793429844,217506.48189953703,0.14988917145790057,71
40,137870309.79,964569.2595198164,119143.62125596628,0.12352002728687267,74
41,181341934.89,1268899.3214304124,187630.2785816477,0.1478685309486451,71
42,79565752.43,557043.1642025025,50275.27585205083,0.09025382426876745,85
43,90565435.41,633540.139163087,40537.093956271696,0.06398504443589259,74
44,43293087.84,303307.493656019,24812.87605457337,0.08180765913655154,68
45,112395341.42,786479.3033350628,130838.52347960748,0.16635977949424374,70
