Month,Total_Sales,MoM_Change,MoM_Growth_Pct
2010-02,190332983.04,,
2010-03,181919802.5,-8413180.539999992,-4.420243094824976
2010-04,231412368.05,49492565.55000001,27.205705409668095
2010-05,186710934.34,-44701433.71000001,-19.316786776211377
2010-06,192246172.36,5535238.020000011,2.9646030317219454
2010-07,232580125.98,40333953.619999975,20.980367580203705
2010-08,187640110.89,-44940015.09,-19.322379717802924
2010-09,177267896.37,-10372214.51999998,-5.527717112723553
2010-10,217161824.02,39893927.650000006,22.504880165516237
2010-11,202853370.14,-14308453.880000025,-6.588844031206081
2010-12,288760532.72,85907162.58000004,42.34938888159014
2011-01,163703966.83,-125056565.89000002,-43.30805346285413
2011-02,186331327.87,22627361.03999999,13.822121404973403
2011-03,179356448.29,-6974879.580000013,-3.7432672539457563
2011-04,226526510.97,47170062.68000001,26.299619071253638
2011-05,181648158.16,-44878352.81,-19.811523436187766
2011-06,189773385.19,8125227.030000001,4.473057757537574
2011-07,229911398.87,40138013.68000001,21.150496756862964
2011-08,188599332.25,-41312066.620000005,-17.96869003583389
2011-09,220847738.42,32248406.169999987,17.09889732125496
2011-10,183261283.15,-37586455.26999998,-17.0191714612533
2011-11,210162354.87,26901071.72,14.679080740682895
2011-12,288078102.48,77915747.61000001,37.07407430707384
2012-01,168894471.66,-119183630.82000002,-41.37198551155911
2012-02,192063579.54,23169107.879999995,13.718097254622712
2012-03,231509650.49,39446070.95000002,20.538027586737133
2012-04,188920905.95,-42588744.54000002,-18.396099017841863
2012-05,188766479.45,-154426.5,-0.08174135055273908
2012-06,240610329.29,51843849.84,27.464542428854415
2012-07,187509452.4,-53100876.889999986,-22.06924243306246
2012-08,236850765.68,49341313.28,26.314040518204827
2012-09,180645544.47,-56205221.21000001,-23.730225675494218
2012-10,184361680.42,3716135.949999988,2.0571423230519423
